Name,On a Scale of 1-5 Rate the Place,A Detailed Review of the Place
Prakash,4,Awesome experience with a friend who was in a hospital with cancer in his late twenties who had to be put in hospital with a
Prashanth,3,It was a good visit to the Zoo. My son loved and we could spot most of the animals. He had a great time. Now coming to the bad parts of the visit - We went on Sunday which is the most busy day for the park.So as expected it was very crowded. We wanted to rent a personal cart but after standing in the line for 1 hour I was told they dont have any available I have to do the sharing cart. But they gave a personal cart to the guy who did not even stand in the line as he had a connection with some hid ranked departments. The guys driving the carts had such an arrogant attitude that most of the people riding it could feel it and had lot of altercations with them.Other than that we had a great visit and could show so many animals to my son. 
Ashwin J,3,"Have been wanting to visit this place since the time i came to Hyderabad.... The place is easy to locate following Google maps...Reached around 12pm and it was extremely crowded... Parking was a big hassle and finally they asked to park in a spot...Went inside and saw a long queue for the shuttle... Decided to go for the toy train... Apparently the toy trains were booked until 4'30 by some school... So they were asking us to wait for 4hrs to board a toy train... Hopeless management of logistics...The shuttle was managed equally bad... People just jump the queue and get into the bus... No consideration given to parents with little kids or elderly people... Management needs to come up with a smarter way to handle the crowd... I have been to zoos inside and outside India... Never faced this problem.... Coming to animals and birds... No animals were active... Most of them were hiding inside their shelter... Many shelters had only 1 animal. I have always seen at least 2 animals in one shelter... But here, there was only 1 tiger, 1 jaguar, 1 giraffe etc... No companionship for the animals... Nothing was great that made the experience a wow experience... Normal zoo just hyped because of low entry fee... The safari again had waiting time of 3hrs.... The lack of planning by authorities was evident everywhere.... Two layers of cars and bikes were parked behind our car... Struggled for minimum 1hr to take the car.... Will not suggest this place... You can take the risk of visiting this place but don't drive and be ready to wait and wait and wait"
Amit Khare,2,It was too overcrowded even to have a look properly. We went in the evening time and there was not even space to stand. There was a problem of parking near the monument hence better to go by cab. The market is also too crowded to even take a look at goods properly.
ChennaiShaji,4,A land mark which you cannot miss while in the twin cities of Hyderabad and Secunderabad. jut roam around or you can have a short boat ride.
Happiness63679548654,4,Good but food is high costly and average food good place to spend time in wonderla. Good place to visit
NIL_MODI,4,Beautiful garden. Nice place. One should visit in the evening. nicely maintained. entry charge is there. small rides are also available at extra charge for kids.
Deepak Warrier,5,"a very good place for the budding scientists...in fact, those who have a scientific bent of mind can have a good time at this place...if you want to enjoy the show at planetarium, reach the place early..say 45 minutes..... "
Abhishek807,5,One of the Best Timepass for Kids... Perfect for Them... Should take your kids for this wonderful journey
Gurutej,3,"Nothing very special here. To be visited only because it is the landmark of Hyderabad. 
The parking area is almost non-existent, and the place is fully congested. "
Kishore W,2,Its but on a grand  scale but ppl dobt maintain cleanliness at all  they litter everywhere...and hardly use garbage cans...the toy train was fun..but wish ppl start realizing the importance of cleanliness
Pratik Choudhari,4,Made out of white marble birla Mandir is located at a hill top and provides Hyderabad's skyline view. Temple premises is clean and tidy. Must visit in Hyderabad if not for god visit for the atmosphere there and the view.
shaggy2015,3,There is statue in mid of the river of late Hussain Sagar. This is also best place to visit. I don't whether boating is allowed in this river. 
Kashim,4,Super excellent some missed raiding activities water activities super excellent I have superb experience
ravishtandon,5,You can see open safari at Hyderabad Zoo. The zoo is spread in a very vast area and a good place to visit with family. Toy train and open elephants are another attraction.
Gurus49,5,An evenly spaced out area divided by different areas and interests. too bad the Dinosaur section was not accessible by wheelchair. 
Niranjan R,5,Wonderla is extremely awesome experience with my family and kids we spent a precious time and carry back with superb memories with us even we celebrated our lovable kids birthday in wonderla is special moment for us thank yuo wonderla and team for the kind service 
OctOriental,4,"The Nehru Zoological Park could be better organised. Outside the main gate it is a bit too chaotic and noisy and dusty with broken roads but that's Hyderabad. The zoo could have done with more logical signposts to different enclosures so that we don't miss a single creature. The safari rides last 15 minutes but give you a good look at lions, tigers, bisons. Lots of schoolkids on their school-organised visits lend to the nice feel of the place. Most commonly known wild animals are here. Must visit."
